ClassId,SignName
0,Ograniczenie predkosci (20km/h)
1,Ograniczenie predkosci (30km/h)
2,Ograniczenie predkosci (50km/h)
3,Ograniczenie predkosci (60km/h)
4,Ograniczenie predkosci (70km/h)
5,Ograniczenie predkosci (80km/h)
6,Koniec ograniczenia predkosci (80km/h)
7,Ograniczenie predkosci (100km/h)
8,Ograniczenie predkosci (120km/h)
9,Zakaz wyprzedzania
10,Zakaz wyprzedzania pojazdow ciezarowych
11,Dziwny znak z plotkiem
12,Droga z pierwszenstwem
13,Ustap pierwszenstwa
14,Stop
15,Zakaz wjazdu pojazdow silnikowych
16,Zakaz wjazdu pojazdow powyzej 3,5t
17,Zakaz wjazdu
18,Znak ostrzegawczy
19,Niebezpieczny zakret w lewo
20,Niebezpieczny zakret w lewo
21,Dwa niebezpieczne zakrety
22,Wyboista droga
23,Sliska jezdnia
24,Zwezenie jezdni prawostronne
25,Roboty drogowe
26,Sygnalizacja swietlna
27,Piesi
28,Dzieci
29,Rowery
30,Oszronienie jezdni
31,Dzikie zwierzeta
32,Koniec ograniczenia predkosci
33,Nakaz jazdy w prawo
34,Nakaz jazdy w lewo
35,Nakaz jazdy prosto
36,Nakaz jazdy prosto lub prawo
37,Nakaz jazdy prosto lub lewo
38,Nakaz jazdy z prawej strony znaku
39,Nakaz jazdy z lewej strony znaku
40,Ruch okrezny
41,Koniec zakazu wyprzedzania
42,Koniec zakazu wyprzedzania przez samochody ciezarowe
